personalid,ESNights,ES,TransitionalHousing,PH,StreetOutReach,ServicesOnly,Other,SafeHaven,PH-NoDis,HomelessPrev,PHRapid,CoordinatedAsses,Usage Cluster
8788,4.0,1.0,,,,,,,,,,1.0,Very Low Use
8795,,,,1.0,,,,,,,,1.0,Very Low Use
8796,,,,,,,,,,,,1.0,Very Low Use
8832,,,,,,1.0,,,,,,,Very Low Use
8839,,,,,,,1.0,,,,,1.0,Very Low Use
8840,22.0,1.0,,,1.0,,,,,,,1.0,Very Low Use
8852,71.0,19.0,,,,,,,,,,,Medium Use
8874,,,,,,,,,,,,1.0,Very Low Use
8907,2.0,2.0,,,,,,,,,,,Very Low Use
8957,2.0,1.0,,,,,,,,,,,Very Low Use
8984,,,,,1.0,,,,,,,,Very Low Use
9082,11.0,2.0,,,,,1.0,,,,,,Very Low Use
9091,,,,,,,,,,,,1.0,Very Low Use
9103,22.0,2.0,,,,,,,,,,,Very Low Use
9125,14.0,1.0,,1.0,,,,,,,,,Very Low Use
9149,,,,,1.0,,,,,,,1.0,Very Low Use
9160,2.0,2.0,,,,,,,,,,1.0,Very Low Use
9172,,,,,,,2.0,,,,,2.0,Very Low Use
9177,,,,1.0,,,,,,,,,Very Low Use
9193,,,,,,,1.0,,,,,,Very Low Use
9202,113.0,1.0,,,,,1.0,,,,,3.0,Medium Use
9225,72.0,5.0,,,,1.0,3.0,,,,,1.0,Low Use
9230,,,,,1.0,,,,,,,,Very Low Use
9279,25.0,1.0,,,2.0,,,,,,,1.0,Low Use
9285,2.0,2.0,,,,,,,,,,,Very Low Use
9329,,,,,,,,,,,,1.0,Very Low Use
9340,1.0,1.0,,,,,1.0,,,,,,Very Low Use
9369,,,,,,,,,,,,1.0,Very Low Use
9387,,,,,2.0,,,,,,1.0,1.0,Very Low Use
9414,1.0,1.0,,,1.0,,,,,,,1.0,Very Low Use
9418,,,,,1.0,,1.0,,,,,1.0,Very Low Use
9497,12.0,4.0,,1.0,,1.0,,,,,,,Very Low Use
9512,,,1.0,,,,,,,,1.0,3.0,Very Low Use
9521,,,,,1.0,,,,,,,,Very Low Use
9563,105.0,3.0,,,,2.0,,,,,,1.0,Medium Use
9572,82.0,3.0,,,,1.0,1.0,,,,,1.0,Medium Use
9634,127.0,2.0,,,1.0,1.0,,,,,,1.0,Medium Use
9637,,,,,,,,,,,,1.0,Very Low Use
9712,,,,,,,2.0,,,,,,Very Low Use
9743,,,,,,,1.0,,,,,,Very Low Use
9815,88.0,1.0,,,,,,,,,1.0,1.0,Medium Use
9818,1.0,1.0,,,,,,,,,,,Very Low Use
9823,,,,,,,,,,,,1.0,Very Low Use
9835,,,,,1.0,,,,,,,,Very Low Use
9890,1.0,1.0,,,1.0,,1.0,,,,,1.0,Very Low Use
9931,,,,,,,1.0,,,,,1.0,Very Low Use
9933,4.0,1.0,,1.0,,,2.0,,,,,2.0,Very Low Use
10016,,,,,,,1.0,,,,,1.0,Very Low Use
10046,48.0,48.0,,,,,,,,,,,Medium Use
10069,8.0,8.0,,,,,,,,,,,Very Low Use
10080,188.0,151.0,,,1.0,,1.0,,,,,1.0,Very High Use
10087,,,,,,,,,,,,1.0,Very Low Use
10098,,,,,,1.0,,,,,,,Very Low Use
10100,,,1.0,,1.0,1.0,,,,,,,Very Low Use
10102,,,,,,1.0,,,,,,,Very Low Use
10103,,,,,,1.0,,,,,,,Very Low Use
10105,,,,,,1.0,,,,,,,Very Low Use
10127,,,,1.0,,,,,,,,,Very Low Use
10128,1.0,1.0,,,,,1.0,,,,,,Very Low Use
10131,111.0,5.0,,,1.0,,4.0,,,,1.0,,Medium Use
10138,,,,,2.0,,,,,,,,Very Low Use
10164,,,,1.0,2.0,,,,,,,1.0,Very Low Use
10293,341.0,253.0,,,,,1.0,,,,1.0,,Very High Use
10327,170.0,1.0,,,,1.0,,,,,1.0,2.0,High Use
10363,2.0,2.0,,,,,,,,,,1.0,Very Low Use
10374,102.0,2.0,,,,,,,,,,1.0,Medium Use
10401,19.0,2.0,,,,,,,,,1.0,1.0,Very Low Use
10479,94.0,4.0,,1.0,3.0,,1.0,,,,,2.0,Medium Use
10485,,,,,,,,,,,,1.0,Very Low Use
10539,77.0,1.0,1.0,,2.0,,1.0,,,,,1.0,Low Use
10571,61.0,5.0,,,,,,,,,,,Low Use
10681,,,,,,1.0,,,,,,,Very Low Use
10712,,,,,2.0,,,,,,,,Very Low Use
10724,,,,,,,,,,,,1.0,Very Low Use
10742,45.0,5.0,,1.0,2.0,,,,,,,1.0,Low Use
10759,,,,,,,,,,,,1.0,Very Low Use
10792,,,,,,,,,,,,1.0,Very Low Use
10846,,,,,2.0,,,,,,,1.0,Very Low Use
10941,,,,,,,,,,,,2.0,Very Low Use
10982,12.0,1.0,,1.0,,,,,,,,2.0,Very Low Use
10983,,,,,,,,,,,,2.0,Very Low Use
11017,69.0,4.0,,,,1.0,,,,,,1.0,Low Use
11021,51.0,25.0,,,,,6.0,,,,,1.0,Low Use
11035,94.0,3.0,,,,2.0,,,,,,1.0,Medium Use
11050,,,,1.0,,,,,,,,1.0,Very Low Use
11067,,,,,1.0,,,,,,,,Very Low Use
11095,127.0,119.0,,,,,,,,,,1.0,High Use
11130,19.0,14.0,,,1.0,,1.0,,,,,1.0,Low Use
11136,95.0,94.0,,,2.0,1.0,2.0,,,,,1.0,High Use
11137,15.0,1.0,,,,,,,,,1.0,1.0,Very Low Use
11192,,,,,1.0,,,,,,,1.0,Very Low Use
11193,,,,,,,2.0,,,,,2.0,Very Low Use
11195,25.0,2.0,,,,1.0,1.0,,,,1.0,2.0,Low Use
11217,,,,,,,,,,,,1.0,Very Low Use
11238,,,,,1.0,,,,,,,,Very Low Use
11298,2.0,1.0,,,,,,,,,,,Very Low Use
11307,2.0,2.0,1.0,,1.0,,,,,,,1.0,Very Low Use
11342,70.0,9.0,,,,,,,,,,,Low Use
11455,30.0,1.0,,,,,1.0,,,,,1.0,Low Use
11463,,,,,,,,,,,,1.0,Very Low Use
11468,48.0,5.0,,,2.0,1.0,2.0,,,,,2.0,Low Use
11596,,,,,,,,,,,,1.0,Very Low Use
11671,23.0,1.0,,1.0,2.0,,,,,,,1.0,Very Low Use
11700,,,,,,1.0,,,,,,1.0,Very Low Use
11712,,,,,,,1.0,,,,,,Very Low Use
11718,116.0,12.0,,,,,2.0,,,,1.0,1.0,Medium Use
11728,1.0,1.0,,,,,1.0,,,,,1.0,Very Low Use
11753,,,,,,,,,,,1.0,,Very Low Use
11776,68.0,4.0,,,,1.0,,,,,,,Low Use
11818,5.0,1.0,,,,,,,,,,1.0,Very Low Use
11887,1.0,1.0,,,,,,,,,,,Very Low Use
11894,1.0,1.0,,,,,,,,,,,Very Low Use
11895,231.0,227.0,,,,,,,,,,1.0,Very High Use
11913,,,,1.0,,,,,,,,1.0,Very Low Use
11923,2.0,1.0,,,1.0,,,,,,,1.0,Very Low Use
11924,,,,,4.0,,,,,,,1.0,Very Low Use
11925,2.0,2.0,,,,,,,,,,1.0,Very Low Use
11933,,,,,1.0,,,,,,,,Very Low Use
11973,28.0,2.0,,,,,,,,,,,Low Use
12158,,,,1.0,,,1.0,,,,,1.0,Very Low Use
12185,,,,,,,1.0,,,,,,Very Low Use
12186,,,,,,,1.0,,,,,1.0,Very Low Use
12207,,,,,,,1.0,,,,,,Very Low Use
12208,,,1.0,,,,,,,,,1.0,Very Low Use
12232,42.0,42.0,,1.0,,,,,,,,,Low Use
12289,115.0,6.0,,,,,,,,,1.0,,Medium Use
12294,,,,1.0,,,,,,,,,Very Low Use
12334,1.0,1.0,,,,,,,,,,,Very Low Use
12344,25.0,2.0,,,,,,,,,,,Very Low Use
12401,85.0,8.0,,,,,1.0,,,,,,Medium Use
12427,17.0,2.0,,,1.0,,,,,,,1.0,Very Low Use
12484,,,,1.0,,,,,,,,1.0,Very Low Use
12495,,,,,,,1.0,,,,,,Very Low Use
12524,,,,,1.0,,1.0,,,,,1.0,Very Low Use
12574,21.0,1.0,,,,1.0,,,,,,1.0,Very Low Use
12590,37.0,1.0,,,,1.0,2.0,,,,,,Low Use
12597,,,,,,,1.0,,,,,,Very Low Use
12609,,,,,,,,,,,,1.0,Very Low Use
12714,,,,,,,1.0,,,,,,Very Low Use
12771,,,,,,,1.0,,,,,,Very Low Use
12785,77.0,4.0,,,1.0,,3.0,,,,,1.0,Medium Use
12794,,,,,,,,,,,,1.0,Very Low Use
12824,,,,,1.0,,,,,,,1.0,Very Low Use
12853,4.0,1.0,,,,,1.0,,,,,1.0,Very Low Use
12867,,,,,,,1.0,,,,,,Very Low Use
12907,,,,,1.0,,,,,,,,Very Low Use
