"personalid","projecttype_1_bednights","projecttype_1_count","projecttype_2_count","projecttype_3_count","projecttype_4_count","projecttype_6_count","projecttype_7_count","projecttype_8_count","projecttype_10_count","projecttype_12_count","projecttype_13_count","projecttype_14_count"
16104,,,,,1,,,,,,,
16212,70,4,1,,,,,,,,,2
16257,1,1,,,,,,,,,,1
16294,,,,,,,1,,,,,
16301,,,,,,,1,,,,,1
16305,43,1,,,,1,,,,,,
16395,,,,,,,,,,,,2
16414,,,,,,,1,,,,,2
16451,102,2,,,,2,,,,,,2
16461,,,,,,1,,,,,1,1
16466,5,5,,,,1,,,,,,1
16478,,,1,,,,,,,,1,
16486,,,,,,,,,,,,1
16488,,,1,,,,,,,,,
16503,,,,,2,,,,,,,
16508,24,24,,,,,,,,,,
16533,,,,,,,1,,,,,1
16554,,,,,,,1,,,,,
16652,11,9,,,2,,,,,,,
16711,,,,,1,,,,,,,
16765,9,3,,,,,1,,,,,
16801,82,2,,,,,,,,,1,2
16843,,,,,,,1,,,,,
16864,,,,,1,2,,,,,,1
16924,75,75,,,1,,,,,,,
16937,,,,,2,,,,,,,1
16947,,,,,,,1,,,,,
17114,,,,,,,,,,,,1
17136,,,,,,,,,,,,1
17150,43,1,,,,,,,,,1,1
17185,11,11,,,,,,,,,,
17207,1,1,,,,,,,,,,
17232,,,,1,,,,,,,1,
17314,,,,,,,3,,,,,3
17366,,,,,2,,1,,,,,1
17376,,,,1,,,,,,,,
17388,2,2,,,2,,1,,,,,1
17408,111,1,,,,,,,,,,
17412,66,39,,,1,,,,,,,1
17438,60,13,,,,1,4,,,,,3
17451,,,,,,,,,,,,1
17452,,,,,,,,,,,,1
17453,,,,,,,,,,,,1
17498,,,,,,,3,,,,,
17580,,,,1,,,,,,,,
17594,,,,,,,,,,,,1
17613,48,2,1,,,,1,,,,1,3
17614,7,1,2,,,,,,,,1,2
17615,,,1,,,,,,,,1,1
17682,,,,,,,1,,,,,
17781,,,,,,,,,1,,,
17876,,,,,,,1,,,,,
17912,,,,1,1,,,,,,,1
17951,40,1,,,,,,,,,,
17954,8,2,,1,,,,,,,,
17983,,,,,,,1,,,,,
17993,63,3,,,,,,,,1,,1
18028,,,,,1,,,,,,,1
18031,,,,,,,1,,,,,
18067,,,,,,,1,,,,,
18137,,,,,1,,,,,,,
18141,,,,1,,,,,,,,
18152,,,,,,,,,,,,1
18173,13,1,,,,,,,,,,
18212,,,,1,,,,,,,,
18216,,,,,,,,,,,,1
18221,2,2,,,1,,1,,,,,
18222,4,2,,,,,,,,,,
18225,,,,,,,,,,,,1
18261,18,1,,,,,,,,,,1
18268,,,,,,,,,,,,1
18316,286,2,,,,1,,,,,,1
18341,1,1,,,,,,,,,,
18426,,,1,,,,1,,,,,1
18428,,,,1,,,,,,,,
18459,,,,,,,,,,,,1
18479,1,1,,,,,,,,,,
18490,23,1,,1,,,,,,,,2
18505,,,,,,,,,,,,1
18552,,,,1,2,,,,,,,2
18627,,,,,,,1,,,,,
18667,,,,,,,,,,,,1
18668,,,,,1,,,,,,,1
18712,76,10,,,,,,,,,,1
18752,58,5,,,,,,,,,,1
18755,1,1,,,,,,,,,,1
18765,1,1,,,,,,,,,,
18773,54,42,,,1,1,1,,,,,1
18776,,,,,,1,,,,,,3
18777,,,,2,,,,,,,,
18800,,,,1,,,,,,,,
18811,1,1,,,2,,1,,,,,1
18860,,,,,,,2,,,,,
18880,33,1,,,,,,,,,,1
18932,,,,,2,,,,,,,1
18946,,,,1,,,,,,,,
18949,,,,,,,,,,,,1
18964,134,1,,,,,,,,,,
18966,,,,,,,,,,,,1
19002,23,3,,,,,,,,,1,
19018,11,7,,1,1,,,,,,,
19054,,,,,,,,,,,,1
19067,12,2,,,,,,,,,,
19101,,,,,,,1,,,,,
19126,,,,,1,,,,,,,
19145,,,,,,,1,,,,,1
19172,150,1,,,,1,1,,,,,
19175,2,1,,,,,,,,,,1
19184,2,2,,,,,1,,,,,
19231,47,37,,,1,,1,,,,,2
19246,,,,,,,,,,,,1
19339,7,3,,,1,2,5,,,,,2
19345,,,,,1,,,,,,,1
19376,284,11,,,3,2,1,,,,,3
19411,136,2,,,,,1,,,,,1
19436,18,5,,,2,1,,,,,,2
19470,,,,,,,,1,,,,
19499,,,,,,,1,,,,,
19581,,,,,1,,,,,,,
19643,,,,,1,,,,,,,
19689,,,,,2,,,,,,,
19710,,,,,2,,1,,,,,2
19714,3,2,1,,2,,,,,,1,3
19716,38,3,,,1,1,1,,,,,
19897,8,8,,,,,2,,,,,
19935,14,1,,,,,,,,,,
19950,,,,,1,,,,,,,
19993,,,,,,1,,,,,,
20024,,,,,3,1,2,,,,,
20071,4,4,,,,,,,,,,2
20099,13,1,,,,,,,,,,1
20101,,,,,,,,,,,,1
20256,105,1,,,1,,,,,,1,1
20259,,,,,,,,,,,,1
20260,105,1,,,1,,,,,,1,1
20261,105,1,,,1,,,,,,1,1
20268,82,1,,,1,,1,,,,1,1
20278,1,1,,,,,,,,,,1
20285,91,2,,,1,,,,,,,1
20346,,,,,,,,,,,,1
20354,,,,,,,,,,,,1
20372,,,,,,,1,,,,,
20373,,,,,,,1,,,,,
20398,122,1,,,,,,,,,,
20412,,,,,,,,,,,,1
20413,,,,,,,,,,,,1
20435,,,,,,,,,,,1,
20498,,,,,1,,1,,,,,
20552,67,1,,,1,,1,,,,1,1
20553,67,1,,,1,,,,,,1,1
20555,,,,,,,,,,,1,
20564,,,,,1,,,,,,,
20613,,,,,1,,1,,,,,
20640,,,,,1,,,,,,,1
20666,,,,,2,,,,,,,1
20686,17,13,1,,,,1,,,,,
20737,1,1,,,,,,,,,,
20932,2,2,,,,2,2,,,,1,1
20935,,,,,,,2,,,,,
20979,,,,1,,,,,,,,
20992,124,1,,,1,,1,,,,1,1
20994,,,,,,,,,,,1,1
21015,,,,,,,1,,,,,
21034,2,2,,,,,,,,,,
21068,,,,,1,,,,,,,
21121,,,,,,,,,,,,1
21218,37,1,,,,,2,,,,,1
21258,14,1,,,,,,,,,,
21272,,,,,,,2,,,,,
21275,,,,,,,2,,,,,
21298,49,18,,,,,,,,,,1
21304,,,,,1,,,,,,,
21397,264,262,,,1,1,,,,,,1
21429,,,,,1,,,,,,,
21471,271,3,,,,,,,,,,
21482,136,8,,,,1,,,,,,
